id,vendor_inco_term,shipment_mode,po_sent_to_vendor_date,scheduled_delivery_date,delivered_to_client_date,delivery_recorded_date
86015,N/A - From RDC,Truck,N/A - From RDC,16-Dec-13,20-Dec-13,17-Jan-14
86017,N/A - From RDC,Truck,N/A - From RDC,30-Nov-13,25-Nov-13,9-Dec-13
86018,N/A - From RDC,Truck,N/A - From RDC,31-Dec-13,28-Nov-13,23-Dec-13
86019,N/A - From RDC,Air,N/A - From RDC,31-Dec-13,17-Feb-14,24-Feb-14
86020,N/A - From RDC,Air,N/A - From RDC,31-Dec-13,2-Dec-13,20-Dec-13
86021,N/A - From RDC,Truck,N/A - From RDC,15-Jan-14,15-Jan-14,31-Jan-14
86022,N/A - From RDC,Truck,N/A - From RDC,3-Dec-13,10-Dec-13,8-Jan-14
86023,N/A - From RDC,Air Charter,N/A - From RDC,31-Jan-14,26-Nov-13,5-Dec-13
86024,N/A - From RDC,Truck,N/A - From RDC,31-Jan-14,30-Jan-14,17-Feb-14
86025,N/A - From RDC,Truck,N/A - From RDC,17-Dec-13,11-Dec-13,9-Jan-14
86027,N/A - From RDC,Truck,N/A - From RDC,31-Dec-13,25-Feb-14,13-Mar-14
86028,N/A - From RDC,Truck,N/A - From RDC,31-Jan-14,13-Jan-14,29-Jan-14
86029,N/A - From RDC,Truck,N/A - From RDC,31-Jan-14,7-Mar-14,12-Mar-14
86030,N/A - From RDC,Air,N/A - From RDC,22-Jan-14,11-Feb-14,13-Feb-14
86031,N/A - From RDC,Truck,N/A - From RDC,31-Jan-14,3-Feb-14,24-Feb-14
86032,N/A - From RDC,Air,N/A - From RDC,31-Jan-14,18-Jan-14,4-Mar-14
86033,N/A - From RDC,Truck,N/A - From RDC,31-Jan-14,19-Feb-14,24-Feb-14
86034,N/A - From RDC,Truck,N/A - From RDC,31-Jan-14,30-Jan-14,3-Feb-14
86040,N/A - From RDC,Air,N/A - From RDC,30-Jan-14,11-Feb-14,24-Feb-14
86041,N/A - From RDC,Air,N/A - From RDC,31-Jan-14,13-Feb-14,4-Mar-14
86042,N/A - From RDC,Truck,N/A - From RDC,31-Jan-14,19-Feb-14,24-Feb-14
86043,N/A - From RDC,Truck,N/A - From RDC,31-Jan-14,25-Feb-14,13-Mar-14
86044,N/A - From RDC,Air,N/A - From RDC,31-Jan-14,13-Feb-14,4-Mar-14
86045,N/A - From RDC,Air,N/A - From RDC,28-Feb-14,18-Feb-14,4-Mar-14
86046,N/A - From RDC,Air,N/A - From RDC,28-Feb-14,18-Feb-14,4-Mar-14
86047,N/A - From RDC,Truck,N/A - From RDC,28-Feb-14,18-Jan-14,4-Mar-14
86048,N/A - From RDC,Air Charter,N/A - From RDC,28-Feb-14,10-Feb-14,19-Feb-14
86049,N/A - From RDC,Truck,N/A - From RDC,28-Feb-14,1-Mar-14,3-Apr-14
86050,N/A - From RDC,Truck,N/A - From RDC,27-Feb-14,18-Feb-14,3-Apr-14
86051,N/A - From RDC,Air,N/A - From RDC,30-May-14,19-May-14,26-Jun-14
86052,N/A - From RDC,Air,N/A - From RDC,30-May-14,19-May-14,26-Jun-14
86054,N/A - From RDC,Truck,N/A - From RDC,25-Mar-14,25-Mar-14,4-Apr-14
86056,N/A - From RDC,Truck,N/A - From RDC,28-Mar-14,11-Apr-14,28-Apr-14
86058,N/A - From RDC,Air,N/A - From RDC,25-Mar-14,2-Apr-14,14-Apr-14
86059,N/A - From RDC,Truck,N/A - From RDC,30-Apr-14,18-Apr-14,7-May-14
86060,N/A - From RDC,Air,N/A - From RDC,31-Mar-14,3-Apr-14,6-Jun-14
86061,N/A - From RDC,Air,N/A - From RDC,30-Mar-14,24-Mar-14,6-May-14
86062,N/A - From RDC,Air,N/A - From RDC,5-May-14,24-Mar-14,6-May-14
86081,N/A - From RDC,Truck,N/A - From RDC,16-Jul-14,25-Jul-14,5-Sep-14
86063,N/A - From RDC,Truck,N/A - From RDC,20-Apr-14,18-Apr-14,28-Apr-14
86064,N/A - From RDC,Truck,N/A - From RDC,3-Apr-14,11-Mar-14,9-Jul-14
86065,N/A - From RDC,Air,N/A - From RDC,31-Mar-14,14-Apr-14,22-May-14
86066,N/A - From RDC,Air Charter,N/A - From RDC,15-Apr-14,17-Apr-14,2-May-14
86067,N/A - From RDC,Truck,N/A - From RDC,21-Mar-14,18-Apr-14,28-Apr-14
86068,N/A - From RDC,Air,N/A - From RDC,19-May-14,19-May-14,4-Jun-14
86069,N/A - From RDC,Air Charter,N/A - From RDC,15-Apr-14,17-Apr-14,2-May-14
86070,N/A - From RDC,Air,N/A - From RDC,30-Jun-14,14-Apr-14,6-Jun-14
86071,N/A - From RDC,Air,N/A - From RDC,30-Jun-14,14-Apr-14,6-Jun-14
86072,N/A - From RDC,Truck,N/A - From RDC,14-Jun-14,24-Jun-14,14-Jul-14
86073,N/A - From RDC,Air,N/A - From RDC,4-Jun-14,4-Jun-14,10-Jul-14
86074,N/A - From RDC,Truck,N/A - From RDC,30-Jun-14,26-May-14,11-Jun-14
86075,N/A - From RDC,Truck,N/A - From RDC,5-May-14,23-May-14,27-May-14
86076,N/A - From RDC,Truck,N/A - From RDC,8-Jul-14,18-Jul-14,7-Aug-14
86077,N/A - From RDC,Truck,N/A - From RDC,21-Apr-14,1-May-14,11-Jun-14
86078,N/A - From RDC,Truck,N/A - From RDC,5-May-14,6-Jun-14,20-Jun-14
86082,N/A - From RDC,Truck,N/A - From RDC,29-Jul-14,2-Aug-14,4-Aug-14
86083,N/A - From RDC,Truck,N/A - From RDC,30-May-14,30-May-14,23-Jun-14
86084,N/A - From RDC,Truck,N/A - From RDC,31-Jul-14,30-May-14,23-Jun-14
86086,N/A - From RDC,Air Charter,N/A - From RDC,3-Jun-14,9-May-14,23-May-14
86089,N/A - From RDC,Truck,N/A - From RDC,30-Jun-14,30-Jun-14,1-Jul-14
86090,N/A - From RDC,Truck,N/A - From RDC,30-Jun-14,30-Jun-14,1-Jul-14
86093,N/A - From RDC,Truck,N/A - From RDC,31-Jul-14,18-Jul-14,7-Aug-14
86094,N/A - From RDC,Truck,N/A - From RDC,30-Jun-14,16-Jun-14,10-Jul-14
86095,N/A - From RDC,Truck,N/A - From RDC,30-Jun-14,4-Jul-14,8-Sep-14
86096,N/A - From RDC,Truck,N/A - From RDC,31-Jul-14,25-Jul-14,5-Sep-14
86097,N/A - From RDC,Truck,N/A - From RDC,30-Jun-14,17-Jun-14,9-Jul-14
86102,N/A - From RDC,Truck,N/A - From RDC,18-Sep-14,2-Oct-14,22-Oct-14
86103,N/A - From RDC,Air,N/A - From RDC,2-Oct-14,17-Oct-14,13-Nov-14
86104,N/A - From RDC,Truck,N/A - From RDC,29-Aug-14,4-Sep-14,6-Oct-14
86106,N/A - From RDC,Truck,N/A - From RDC,30-Sep-14,8-Sep-14,19-Sep-14
86131,N/A - From RDC,Truck,N/A - From RDC,30-Dec-14,30-Oct-14,13-Nov-14
86107,N/A - From RDC,Truck,N/A - From RDC,31-Dec-14,30-Oct-14,7-Nov-14
86137,N/A - From RDC,Air,N/A - From RDC,30-Sep-14,1-Oct-14,21-Oct-14
86108,N/A - From RDC,Air,N/A - From RDC,22-Sep-14,30-Sep-14,17-Nov-14
86110,N/A - From RDC,Truck,N/A - From RDC,19-Aug-14,13-Aug-14,14-Aug-14
86111,N/A - From RDC,Truck,N/A - From RDC,30-Jun-14,9-Jul-14,7-Aug-14
86112,N/A - From RDC,Truck,N/A - From RDC,30-Jun-14,9-Jul-14,7-Aug-14
86113,N/A - From RDC,Air,N/A - From RDC,17-Jul-14,17-Jul-14,28-Oct-14
86114,N/A - From RDC,Truck,N/A - From RDC,31-Jul-14,23-Jul-14,28-Aug-14
86115,N/A - From RDC,Truck,N/A - From RDC,14-Jul-14,3-Sep-14,6-Oct-14
86116,N/A - From RDC,Truck,N/A - From RDC,29-Aug-14,25-Aug-14,28-Aug-14
86117,N/A - From RDC,Truck,N/A - From RDC,29-Aug-14,25-Aug-14,28-Aug-14
86118,N/A - From RDC,Air,N/A - From RDC,13-Aug-14,24-Sep-14,6-Nov-14
86119,N/A - From RDC,Air,N/A - From RDC,13-Aug-14,24-Sep-14,6-Nov-14
86120,N/A - From RDC,Air,N/A - From RDC,13-Aug-14,24-Sep-14,6-Nov-14
86121,N/A - From RDC,Truck,N/A - From RDC,29-Aug-14,5-Nov-14,7-Nov-14
86129,N/A - From RDC,Air,N/A - From RDC,31-Aug-14,25-Jul-14,1-Aug-14
86130,N/A - From RDC,Truck,N/A - From RDC,31-Aug-14,30-Oct-14,13-Nov-14
86133,N/A - From RDC,Truck,N/A - From RDC,11-Nov-14,17-Oct-14,7-Nov-14
86134,N/A - From RDC,Air Charter,N/A - From RDC,30-Sep-14,3-Sep-14,5-Sep-14
86135,N/A - From RDC,Truck,N/A - From RDC,30-Sep-14,15-Sep-14,25-Sep-14
86139,N/A - From RDC,Truck,N/A - From RDC,31-Oct-14,17-Oct-14,7-Nov-14
86140,N/A - From RDC,Truck,N/A - From RDC,31-Oct-14,17-Oct-14,7-Nov-14
86141,N/A - From RDC,Truck,N/A - From RDC,31-Oct-14,19-Nov-14,24-Nov-14
